id,name,service_type,address,contact_name,contact_email,phone,tax_id,vendor_status,approved_vendor,created_by,created_at,modified_by,modified_at
1f4a84e04a624e379a57ec79aece62ee,"Gibson, Scott and Mueller",Construction Managers,"795 Smith Prairie Apt. 717, East Chad, SC 06570",Megan Chase,sstewart@example.com,(933)281-3338x4918,514-12-6867,Active,False,U234053,2025-06-09 18:53:52,U234053,2025-07-13 21:01:59
a3995baec42c42bba09debbdc8e84244,Fisher Title Co.,Title & Escrow Services,"216 David Inlet, Lake Amandatown, OK 94002",Heather Brown,geraldwalker@example.com,(653)639-8053x527,613-65-0564,Active,False,U146316,2024-07-20 03:16:04,U146316,2025-05-29 21:20:51
9ae12fda28c643e38cc67d41a884ca65,Frederick Software Group,Software Providers,"5737 Amber Heights, Lake Rachel, DE 27466",Laura Kelly,hjimenez@example.net,483.635.7373x4093,785-54-2568,Active,True,U772246,2016-07-21 23:37:07,U772246,2018-09-29 05:16:44
8be75ee471204d47a205e23cd990be72,Evans Technologies,Software Providers,"934 Paul Orchard, Nicoleport, FM 09886",Kimberly Salazar,vhernandez@example.com,212.888.2685x118,001-78-6711,Active,False,U256787,2016-02-07 18:59:30,U256787,2020-09-22 02:25:29
ee428372d0c34800b393a686cbe04929,Evans-Wilson,Engineering Services,"57216 Elizabeth Route, South Sharon, AS 45017",Rodney Nguyen,gallowaysamantha@example.org,249-903-7638x36323,184-82-7117,Active,False,U288389,2017-03-01 19:03:11,U288389,2018-04-12 16:50:09
537aa53bd2224cb883592b0b9c214fd1,Williams CleanTech,Maintenance & Janitorial Vendors,"231 Lowe Shoals Apt. 206, Port John, SC 58402",Donna Munoz,jonesamanda@example.org,(482)287-9911x83708,286-43-2240,Active,False,U256787,2016-05-24 02:42:30,U256787,2018-06-21 06:03:51
a8086050518e488f9f92d991f5809ed3,Davis Landscaping,Landscaping & Outdoor Services,"00110 Patricia Grove, South Aaronton, GU 68602",Robert Brown II,audrey74@example.com,4754162368,754-30-6517,Active,True,U709570,2020-09-15 17:42:51,U026225,2021-08-29 00:32:21
89c4bec2033443ebbe36171b120831cb,Prince Title Co.,Title & Escrow Services,"6509 Randall Trail, New Karen, UT 62001",Lori Booth,williamburch@example.com,(387)279-8212x632,254-96-5602,Active,True,U146316,2015-12-07 11:44:01,U107473,2022-04-12 08:06:27
45cab98fc1764cf68c6d61ccc2d1715a,Hanna and Sons,Real Estate Appraisers,"2561 Paul Estates Apt. 458, West Elizabethshire, VA 03264",Jessica Zavala,allenjohnny@example.org,+1-409-624-6680x049,869-62-3826,Active,True,U026225,2015-09-29 00:59:06,U026225,2020-05-07 05:06:58
1b3cb7d8ac204b8496562e30f41c77bf,Reed-Baldwin,Real Estate Appraisers,"8999 Butler Walks Apt. 545, South Jason, VI 96540",Jaime Mcgrath,thomasmccarty@example.com,535-494-9763x0597,157-61-4549,Active,True,U146316,2021-08-10 03:36:31,U772246,2023-04-05 09:45:07
884cb8a5a4ec4c74a42766eaebf3b3be,Nelson IR Systems,Investor Relations Platforms,"72304 Antonio Squares Suite 104, Port Amandaside, ID 11016",Omar White,morganchristina@example.com,(673)898-2972x6338,547-80-5046,Active,False,U116739,2017-01-24 16:43:51,U116739,2019-02-11 06:30:37
1ec09d2e28e9495787dc281663bd89c8,Valdez GreenScape,Landscaping & Outdoor Services,"0385 Willie Circles Apt. 522, South Isabellaborough, ME 44085",Erica Potts,zmorrison@example.org,001-506-417-4752x354,854-32-1183,Active,True,U146316,2023-08-31 20:03:01,U146316,2025-05-18 01:20:14
ba86e79511f04127af279328beac5eea,Dickerson Architects,Architecture & Design Firms,"280 Hughes Land, Port Stacyfort, MA 10398",Alex Munoz,alexanderkevin@example.net,729.946.9140x73914,732-18-6622,Active,True,U107473,2023-09-10 15:56:52,U107473,2023-10-12 02:55:23
b43a3fdc4eb14b718ad99732869ecbcc,"Rivera, Rodriguez and Stevens",Financial & Tax Advisors,"22127 Reed Loop Suite 388, Mauriceshire, RI 77238",Jamie Wang,scott05@example.com,(720)224-9006,813-87-5098,Active,False,U709570,2015-10-23 01:12:44,U709570,2018-03-24 01:19:11
5faee9fb02454e668fe6128c993761c7,Lopez Capital Advisors,Financial & Tax Advisors,"52414 Richard Trail, Annamouth, IN 16219",Samantha Garza,vhamilton@example.com,3982982189,668-49-3738,Active,False,U107473,2019-11-07 21:01:45,U107473,2021-11-07 12:56:52
ca9ef05fe5da4f0cb4ebf65d09ae9d7f,Payne Security Solutions,Security & Surveillance Providers,"PSC 3404, Box 0878, APO AE 99617",Matthew Fisher,osbornmckenzie@example.net,535.932.0807x1088,209-41-6719,Active,True,U256787,2019-08-13 04:02:03,U256787,2021-02-11 01:54:54
bc990b188e604b53985e80834f5a7548,Lamb Property Services,Property Management Firms,"2965 Thomas Parkway, Bishopborough, VT 40364",Felicia Baker,powens@example.org,899-475-8827,353-03-1478,Active,True,U256787,2020-07-31 22:44:10,U709570,2025-01-31 21:11:11
7b7d30dbc51e44d581ab1f294bb7a316,Gray Engineering,Engineering Services,"47714 Ethan Dale, South Loganton, WA 21104",Monica Holland,chill@example.com,(724)230-9525,161-73-3496,Active,True,U026225,2022-09-05 11:50:14,U026225,2022-12-05 06:09:08
035673348d6345bb9477dcd63980569e,Johnson Contracting,General Contractors,"38115 Christopher Dale, Wilsonton, MI 36747",Jessica Garner,anthony44@example.org,001-568-729-2465x775,341-17-6718,Inactive,True,U146316,2021-09-06 10:56:30,U709570,2024-12-19 04:21:13
1d9b4f22dcc94255abfcb93e57372bef,Odonnell Escrow Services,Title & Escrow Services,"140 Mary Fork, Port Christineton, NV 35757",Danielle Smith,tinagray@example.com,+1-846-721-9957x3701,624-76-8376,Active,False,U256787,2018-04-20 02:11:30,U772246,2020-01-31 20:39:32
86449bcbe304481b83b2185f090c945a,Williams Capital Partners,Investor Relations Platforms,"2037 Timothy Groves, South Daniel, VI 24900",Jennifer Strong,dmaddox@example.net,246-552-0116x3588,348-92-6394,Active,True,U146316,2016-10-10 17:52:42,U146316,2023-09-01 10:23:20
e3761e0d12c14b9fa9ad4d7c8ab33955,Mclaughlin Analytics Group,Market Research & Analytics,"863 Mullins Drive, Leeton, VA 29276",Crystal Thomas,kelseybrown@example.org,+1-651-790-7714x363,625-57-3141,Active,True,U146316,2021-02-18 05:10:19,U146316,2024-11-30 22:16:22
9b5cb09f865d4d5284b9cf943871e85f,Young PLC,Zoning & Permitting Consultants,"99145 Brandon Drive Suite 370, Loriport, OK 90031",Lisa Lyons,browneddie@example.com,494-844-6022,258-91-1109,Inactive,True,U146316,2024-04-21 09:06:49,U146316,2025-07-04 03:57:22
e0b02a15d0d2491b8dbf2050822d0dd6,Perry Realty,Leasing Brokers & Tenant Reps,"291 Jensen Inlet Apt. 945, West Tylerstad, NH 15916",Alexis Wilson,sfields@example.org,7437815308,486-39-7659,Inactive,True,U116739,2019-08-10 20:11:45,U116739,2021-11-18 23:30:24
dce9673442e04e4f97aab18f69ea7898,Mercado Zoning Group,Zoning & Permitting Consultants,"13298 Angel Circle, Mckinneybury, WV 85514",Sharon Werner,roger81@example.org,4985326434,717-36-4630,Active,False,U256787,2023-04-13 14:58:39,U256787,2023-08-19 03:32:35
5783da00617742a482127176f5890e9a,Sanchez Construction Management,Construction Managers,"97965 Amanda Village Apt. 513, Hamiltonview, GA 32564",Thomas Johnson,harpersteven@example.net,(945)309-2885,653-13-0748,Active,False,U234053,2018-10-07 05:40:44,U234053,2022-10-12 21:08:24
d68a3ceb9066485595d29d5104746ed1,Gutierrez Construction,General Contractors,"4628 Andrew Ports, South Pambury, MO 34216",Paul Brown,ycampbell@example.org,(346)344-0585x48346,075-16-2794,Active,True,U107473,2024-11-17 11:29:57,U709570,2025-07-15 18:27:06
e8fac5db482046d4acd3f0104033cdf6,Hunter Inc,Engineering Services,"390 Jennifer Loaf Apt. 980, Michaeltown, AS 34059",Joshua David,lowejeffery@example.com,982.884.0468x909,303-02-8376,Active,False,U709570,2019-05-10 03:13:06,U234053,2021-07-06 08:58:19
8225168d726d4bf7bd6d8e5b0bc53db0,Adams Tenant Advisors,Leasing Brokers & Tenant Reps,"634 Wood Falls Apt. 282, Millerburgh, AL 11270",Dawn Taylor,larsonjoseph@example.com,787-851-9722,598-58-8415,Active,False,U146316,2017-11-18 14:39:41,U146316,2023-10-23 06:10:09
da2cf147d28b4750bf3f7a5d4a7ff634,Williams and Sons,Construction Managers,"6134 Amy Hills Apt. 437, South Brandon, WI 96320",Angela Rodgers,hannah26@example.com,8893416749,241-99-1368,Active,True,U772246,2017-05-18 12:57:56,U772246,2021-12-16 18:58:31
54309f439eae4553a68cba8f15ff6ff4,Kirk Data Advisors,Market Research & Analytics,"Unit 1469 Box 3948, DPO AE 89954",Sheila Shaw,williamstyler@example.org,958-618-0917x88793,525-93-0674,Active,False,U234053,2018-12-25 22:40:30,U234053,2024-12-06 07:42:22
b5d7335dc051465dba4538582cd33b10,"James, Hunter and Lee",Engineering Services,"201 Madison Trail Suite 546, Lake Brittanyview, IN 16339",Brandon Scott,kimellis@example.net,001-394-218-7837x39732,166-34-0010,Active,False,U288389,2019-04-19 19:38:34,U288389,2024-11-19 11:30:38
cb803fe228ae4f25a74eb6a0139ba2f5,Roberts and Sons,Legal & Regulatory Counsel,"58988 Anthony Glen Suite 124, Lake John, MS 27803",Corey Harris,vcummings@example.org,+1-959-475-4182x13530,534-93-9248,Active,False,U026225,2024-10-18 01:49:11,U026225,2024-10-25 02:59:23
1a931f1281c845ffbd729d42c75a09c6,Robinson Environmental Group,Environmental Consultants,"Unit 1844 Box 4433, DPO AP 69572",Karen Harvey,wilsonjennifer@example.com,001-588-320-8605x2692,492-11-6421,Active,True,U772246,2020-05-01 00:13:48,U772246,2022-07-10 04:48:48
f5430a70debf4ee58bc666ab0a365b2e,Klein Construction,General Contractors,"17054 Bryant Extensions Apt. 935, East Matthew, NH 47532",Nicole Ray,travis98@example.net,001-931-580-2443x482,705-18-6133,Active,True,U288389,2017-01-12 18:51:40,U116739,2017-05-11 06:12:23
8f1f48dbfe1545aab9224ee3d7ee50d8,Howell and Sons,Architecture & Design Firms,"997 Melendez Squares Suite 335, South Troy, KS 14062",Shawn Reeves,meganclay@example.com,904.586.2657x24651,123-06-6794,Inactive,True,U256787,2017-10-22 16:28:11,U772246,2022-08-03 17:24:58
095a06ac320c48af88692590930ef4e4,"Cline, Lara and Martinez",Software Providers,"89291 Cynthia Well Suite 105, Natalieberg, HI 16413",Cynthia Webb,whitebeth@example.com,5538977896,043-38-3072,Inactive,False,U288389,2020-01-17 08:58:07,U288389,2020-05-15 01:21:38
1e7b8c6263df4c739a05831fb9296862,Howell-Jackson,Security & Surveillance Providers,"35754 Betty Pines Apt. 316, Davilafort, MP 70468",Nicole Jackson,baileyrobert@example.net,+1-799-957-4879,455-35-1950,Active,False,U026225,2023-10-13 10:33:56,U026225,2024-02-07 19:09:04
ec0ae30481fb45e6a33c9d0976f3cfa7,Perry Software Group,Software Providers,"4283 Christine Lights Apt. 990, East Debra, AR 46631",Emily Clayton,johnsonrachael@example.org,746.473.7902x35845,544-11-9314,Active,True,U777572,2023-10-13 12:24:06,U777572,2024-12-05 18:24:23
15b503700d7b420a9ead8480bc7e9dff,Griffith Tax Consulting,Financial & Tax Advisors,"83952 Gibson Parkway Suite 343, South Michael, CA 40651",Edward Brewer,sarah52@example.org,(642)498-7164,844-18-5473,Active,False,U234053,2022-10-04 16:31:38,U234053,2023-12-04 02:04:32
e0ae67b5cbaf4234a8aade02ec23f9d3,Davidson Architects,Architecture & Design Firms,"9596 Johnson Mount, Lake Robert, AK 20705",Dana Edwards,leealexandria@example.com,(591)889-7260,214-29-6724,Active,False,U146316,2020-07-17 10:27:22,U146316,2023-02-11 23:05:39
11cc511ad4b14426ad647677631e43a4,Morris CPA Group,Financial & Tax Advisors,"04534 Brown Port Apt. 863, Grayfort, LA 87473",Michael Walton,thomas30@example.com,+1-650-842-7348x78581,074-74-9158,Active,False,U107473,2024-11-28 23:03:50,U107473,2025-03-30 05:01:13
df2e959497eb4204b514cd1df7e8c15e,Lopez Contracting,General Contractors,"USNS Fleming, FPO AA 28397",Christina Alvarez,lisasingleton@example.com,(538)700-1540,463-14-3461,Active,False,U107473,2020-12-31 15:49:59,U107473,2022-03-15 14:44:48
3e5a9fb6be564c61ba83a5b6ca44cedc,Dodson Counsel,Legal & Regulatory Counsel,"74012 Tyler Park, East Joseph, IL 62988",Jennifer Blanchard,pauljeremy@example.org,848-676-4039x9399,693-45-3954,Active,False,U116739,2022-03-16 18:24:43,U116739,2023-11-28 01:13:40
179dabbb02824d9480e318f85883c055,Beck Ltd,ESG & Sustainability Consultants,"17882 Villa Tunnel Apt. 878, North Kristina, ND 83056",Justin Johnson,thomasday@example.com,+1-394-910-6502,246-87-9380,Active,False,U026225,2022-04-01 12:09:22,U026225,2024-02-23 22:24:59
4e15f019b495495ea6239e8ae08b44ae,Sanders Builders,General Contractors,"33288 Blake Keys Suite 293, South Brianborough, AR 87723",Danny Mcdaniel,christinehenderson@example.com,376.626.7763x41986,319-98-7965,Inactive,True,U116739,2024-02-07 20:12:19,U116739,2025-01-24 18:18:16
f462aa864f344a4787ec1ff3bb94374b,Ortiz Sustainability Group,ESG & Sustainability Consultants,"51709 Smith Branch, East Brett, OH 79203",Natalie Bright,qlara@example.org,001-496-932-9373x272,707-06-4880,Active,False,U288389,2022-08-06 22:01:20,U288389,2024-10-21 13:38:23
577ead65184a494d9b9ae587cc7ad7b7,Johnson Builders,General Contractors,"413 Romero Common Apt. 096, Lake Rodneyport, NM 27172",Courtney Aguirre,mejiakaren@example.net,001-665-912-7177x84086,197-78-8744,Inactive,True,U146316,2016-05-11 00:26:07,U146316,2016-08-25 04:32:59
20911fd020c84418ad755257f8336d47,Lane Asset Group,Property Management Firms,"170 Sheppard Plain, Adrianmouth, GA 70590",Melissa Hernandez,larachristine@example.org,368-881-9482,703-38-8881,Active,True,U107473,2018-09-19 07:44:26,U107473,2025-02-27 05:53:35
492ba58341b44a0991330276197e99fe,Howard-Young,Property Management Firms,"425 Snyder Fort, Williamsport, MA 10803",Tonya Smith,derek79@example.org,2316303988,773-20-9109,Active,False,U772246,2016-05-03 21:37:30,U772246,2020-10-31 21:55:10
